from	to
P19889	Q9NJH0
P19889	P13008
P19889	O76927
P19889	Q9VBU9
P19889	Q9W229
P19889	Q8T3U2
P19889	P39018
P19889	O96827
P19889	P04359
P19889	Q9VWG3
P19889	Q24154
P19889	Q9V9M7
P19889	Q9W5N2
P19889	P80455
P19889	Q8IGR0
P19889	Q9VTP4
P19889	O61231
P19889	Q9VZS5
P19889	Q0E9B6
P19889	P48159
P19889	Q7JYK1
P19889	O18640
P19889	Q8MLY8
P19889	P55841
P19889	P41094
P19889	Q9W0A8
P19889	Q9V3G1
P19889	P38979
P19889	Q9W1B9
P19889	O16797
P19889	O17445
P19889	Q9VA91
P19889	Q9VVU2
P19889	Q7JZW2
P19889	P31009
P19889	Q9VJ19
P19889	P48588
P19889	P13060
P19889	Q9W237
P19889	P08570
P19889	P55828
P19889	Q9V597
P19889	P09180
P19889	P46222
P19889	P55830
P19889	P17704
